NU_COMP_ALUNO;TX_RESP_Q004_B;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q004_F;TX_RESP_Q004_H;TX_RESP_Q013_B;TX_RESP_Q013_C;TX_RESP_Q014_C;TX_RESP_Q018_B;TX_RESP_Q019_D;TX_RESP_Q019_F;TX_RESP_Q036_C;TX_RESP_Q040_C;TX_RESP_Q041_B;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C;TX_RESP_Q043_A;TX_RESP_Q060_A
0.23157894736842105;0.42857142857142855;0.0989010989010989;0.041666666666666664;0.046511627906976744;0.0967741935483871;0.06349206349206349;0.0;0.0335195530726257;0.08235294117647059;0.07954545454545454;0.08333333333333333;0.04316546762589928;0.08771929824561403;0.05673758865248226;0.046511627906976744;0.09090909090909091;0.1764705882352941;0.11023622047244094;0.1016042780748663
0.2631578947368421;0.07142857142857142;0.07326007326007326;0.19444444444444442;0.13953488372093023;0.12903225806451613;0.0873015873015873;0.0;0.07262569832402235;0.1411764705882353;0.2159090909090909;0.10714285714285714;0.10791366906474821;0.10526315789473684;0.1702127659574468;0.27906976744186046;0.18181818181818182;0.0;0.09448818897637795;0.026737967914438502
0.12631578947368421;0.14285714285714285;0.10989010989010989;0.08333333333333333;0.0;0.03225806451612903;0.05952380952380952;0.03773584905660377;0.09497206703910614;0.10588235294117647;0.045454545454545456;0.03571428571428571;0.10071942446043167;0.0;0.11347517730496454;0.046511627906976744;0.0;0.058823529411764705;0.19685039370078738;0.1016042780748663
0.22105263157894736;0.21428571428571427;0.18681318681318682;0.3333333333333333;0.2558139534883721;0.1935483870967742;0.15079365079365079;0.07547169811320754;0.22905027932960895;0.2;0.29545454545454547;0.05952380952380952;0.18705035971223022;0.19298245614035087;0.40425531914893614;0.41860465116279066;0.2909090909090909;0.23529411764705882;0.49606299212598426;0.08021390374331551
0.10526315789473684;0.0;0.08424908424908426;0.15277777777777776;0.11627906976744186;0.12903225806451613;0.047619047619047616;0.0;0.111731843575419;0.1411764705882353;0.05681818181818182;0.03571428571428571;0.10071942446043167;0.07017543859649122;0.15602836879432624;0.13953488372093023;0.09090909090909091;0.23529411764705882;0.18110236220472442;0.0909090909090909
0.5894736842105263;0.0;0.06593406593406594;0.1111111111111111;0.06976744186046512;0.03225806451612903;0.03968253968253968;0.018867924528301886;0.05027932960893855;0.07058823529411765;0.05681818181818182;0.023809523809523808;0.03597122302158273;0.03508771929824561;0.09219858156028368;0.046511627906976744;0.10909090909090909;0.058823529411764705;0.11811023622047244;0.0481283422459893
0.34736842105263155;0.0;0.12087912087912088;0.2361111111111111;0.23255813953488372;0.0967741935483871;0.06349206349206349;0.07547169811320754;0.15083798882681565;0.2;0.06818181818181818;0.023809523809523808;0.08633093525179857;0.0;0.24822695035460993;0.3023255813953488;0.21818181818181817;0.058823529411764705;0.30708661417322836;0.1283422459893048
0.6210526315789473;0.21428571428571427;0.4065934065934066;0.4861111111111111;0.6511627906976745;0.4193548387096774;0.32539682539682535;0.1509433962264151;0.30726256983240224;0.6823529411764706;0.5909090909090909;0.14285714285714285;0.5035971223021583;0.19298245614035087;0.4893617021276595;0.3023255813953488;0.36363636363636365;1.0;0.8425196850393701;0.3957219251336898
0.37894736842105264;0.0;0.04395604395604395;0.125;0.0;0.0967741935483871;0.03571428571428571;0.0;0.03910614525139665;0.10588235294117647;0.06818181818181818;0.023809523809523808;0.07194244604316546;0.0;0.06382978723404256;0.09302325581395349;0.05454545454545454;0.0;0.09448818897637795;0.0748663101604278
0.18947368421052632;0.6428571428571428;0.13553113553113552;0.3611111111111111;0.23255813953488372;0.3548387096774194;0.1468253968253968;0.09433962264150943;0.08379888268156425;0.3058823529411765;0.18181818181818182;0.13095238095238093;0.2446043165467626;0.03508771929824561;0.276595744680851;0.3023255813953488;0.2545454545454545;0.23529411764705882;0.33858267716535434;0.0855614973262032
0.14736842105263157;0.07142857142857142;0.13186813186813187;0.3055555555555555;0.3488372093023256;0.16129032258064516;0.18253968253968253;0.07547169811320754;0.17318435754189945;0.16470588235294117;0.17045454545454547;0.13095238095238093;0.1798561151079137;0.05263157894736842;0.326241134751773;0.3488372093023256;0.09090909090909091;0.11764705882352941;0.09448818897637795;0.0748663101604278
0.09473684210526316;0.07142857142857142;0.047619047619047616;0.125;0.13953488372093023;0.1935483870967742;0.023809523809523808;0.018867924528301886;0.0223463687150838;0.12941176470588234;0.05681818181818182;0.011904761904761904;0.05035971223021583;0.05263157894736842;0.11347517730496454;0.18604651162790697;0.09090909090909091;0.29411764705882354;0.17322834645669294;0.11764705882352941
0.10526315789473684;0.07142857142857142;0.36996336996337;0.5;0.4418604651162791;0.4193548387096774;0.15079365079365079;0.05660377358490566;0.3463687150837989;0.5411764705882353;0.4431818181818182;0.17857142857142855;0.23741007194244607;0.08771929824561403;0.5106382978723404;0.7674418604651163;0.5636363636363636;0.6470588235294118;0.8188976377952756;0.23529411764705882
